company,description,category,country,failure_reason,outcome,started,closed,funding,employees,founders,url
Musical.ly,Video-based social network,Social Media,China,Acquisition Flu,Acquired,2014,2018,> $50M,100-250,2,https://www.failory.com/cemetery/musical-ly
Justin.tv,Online video streaming platform,Social Media,United States,Multiple Reasons,Shut Down,2007,2014,$10M-$50M,50-100,4,https://www.failory.com/cemetery/justin-tv
Toys R Us,"Toy, baby, and clothing retail store",Entertainment,United States,Bad Business Model,Bankruptcy,1957,2021,No Data,"+10,000",1,https://www.failory.com/cemetery/toys-r-us
Houseparty,Video-based social media app,Social Media,United States,Lack of Focus,Shut Down,2011,2021,> $50M,10-50,4,https://www.failory.com/cemetery/houseparty
Xinja,Australia's first licensed neobank,Finances,Australia,Bad Business Model,Shut Down,2017,2020,> $50M,50-100,2,https://www.failory.com/cemetery/xinja
Quirky,Community-led invention platform,Finances,United States,Multiple Reasons,Bankruptcy,2009,2015,> $50M,50-100,1,https://www.failory.com/cemetery/quirky
Atrium,Modern law firm for startups,Software & Hardware,United States,Lack of PMF,Shut Down,2017,2020,> $50M,100-250,4,https://www.failory.com/cemetery/atrium
Glitch,Social MMO Browser Game,Entertainment,United States,Bad Business Model,Shut Down,2010,2012,$10M-$50M,10-50,1,https://www.failory.com/cemetery/glitch
Yogome,Educational Mobile Games for Kids,Education,Mexico,Bad Management,Shut Down,2010,2018,$10M-$50M,50-100,2,https://www.failory.com/cemetery/yogome
Tink Labs,Smartphone Supplier for Hotel Chains,Travel,Hong Kong,Bad Business Model,Shut Down,2012,2019,> $50M,250-500,1,https://www.failory.com/cemetery/tink-labs
Daqri,Augmented Reality Experiences,Software & Hardware,United States,Lack of Funds,Acquired,2010,2019,> $50M,100-250,3,https://www.failory.com/cemetery/daqri
Katerra,Transforming Construction Through Innovation,Software & Hardware,United States,Lack of Focus,Bankruptcy,2015,2021,> $50M,"5,000-10,000",3,https://www.failory.com/cemetery/katerra
HubHaus,Platform for co-living spaces,Software & Hardware,United States,Bad Timing,Shut Down,2016,2020,$10M-$50M,10-50,3,https://www.failory.com/cemetery/hubhaus
ScaleFactor,Finance and accounting software for SMEs,Finances,United States,Poor Product,Shut Down,2014,2020,> $50M,100-250,1,https://www.failory.com/cemetery/scalefactor
Desti,Online travel guide app,Travel,United States,Bad Business Model,Acquired,2011,2014,$1M-$10M,1-10,3,https://www.failory.com/cemetery/desti
HotelsAroundYou,Booking of same-day hotel rooms,Travel,India,Competition,Shut Down,2013,2017,< $1M,1-10,3,https://www.failory.com/cemetery/hotelsaroundyou
HiGear,Private car-sharing club for luxury and sports cars,Transportation,United States,Legal Challenges,Acquired,2011,2011,$1M-$10M,1-10,2,https://www.failory.com/cemetery/higear
Zirtual,Dedicated virtual assistants for busy professionals,Software & Hardware,United States,Mismanagement of Funds,Shut Down,2011,2015,$1M-$10M,100-250,3,https://www.failory.com/cemetery/zirtual
RoomsTonite,Last-minute hotel booking provider,Travel,India,Lack of Funds,Bankruptcy,2014,2017,$1M-$10M,100-250,1,https://www.failory.com/cemetery/roomstonite
Secret,Online platform to share personal secrets,Social Media,United States,Legal Challenges,Shut Down,2013,2015,$10M-$50M,10-50,2,https://www.failory.com/cemetery/secret
Rafter,Textbook and course material provider for schools,Education,United States,Competition,Acquired,2006,2016,> $50M,50-100,1,https://www.failory.com/cemetery/rafter
Netscape,Developed enterprise software solutions,Productivity,United States,Poor Product,Shut Down,1994,2008,No Data,"5,000-10,000",3,https://www.failory.com/cemetery/netscape
Sharingear,Marketplace for musicians to rent their instruments,Music,Denmark,Multiple Reasons,Shut Down,2014,2015,< $1M,1-10,1,https://www.failory.com/cemetery/sharingear
PepperTap,Large and fast grocery delivery service,Food & Beverage,India,Poor Product,Shut Down,2014,2016,> $50M,"1,000-5,000",2,https://www.failory.com/cemetery/peppertap
Zulily,Online retailer that offered daily deals,e-Commerce,United States,Bad Marketing,Shut Down,2009,Active,> $50M,"1,000-5,000",2,https://www.failory.com/cemetery/zulily
EventVue,Built online communities for conferences,Finances,United States,Lack of PMF,Shut Down,2007,2010,< $1M,1-10,2,https://www.failory.com/cemetery/eventvue
Totsy,E-commerce selling prenatal care products,e-Commerce,United States,Poor Product,Shut Down,2009,2013,$10M-$50M,50-100,2,https://www.failory.com/cemetery/totsy
Skully,Augmented reality motorcycle helmets,Transportation,United States,Mismanagement of Funds,Shut Down,2013,2016,$10M-$50M,10-50,1,https://www.failory.com/cemetery/skully
Verelo,Offered website monitoring services,Analytics,Canada,Lack of Funds,Acquired,2012,2012,No Data,1-10,2,https://www.failory.com/cemetery/verelo
Wantful,Online gift-giving service,e-Commerce,United States,Competition,Shut Down,2011,2013,$1M-$10M,"+10,000",1,https://www.failory.com/cemetery/wantful
Gowalla,Social Guide to world's cities,Social Media,United States,Competition,Acquired,2007,2013,$10M-$50M,10-50,2,https://www.failory.com/cemetery/gowalla
PostRocket,Facebook page marketing platform,Analytics,United States,Poor Product,Shut Down,2010,2013,< $1M,1-10,2,https://www.failory.com/cemetery/postrocket
Wesabe,Personal finance management website,Finances,United States,Bad Management,Shut Down,2005,2010,$1M-$10M,10-50,2,https://www.failory.com/cemetery/wesabe
99dresses,Virtual closet to trade fashion items,e-Commerce,Australia,Multiple Reasons,Shut Down,2010,2014,< $1M,1-10,1,https://www.failory.com/cemetery/99dresses
Lookery,Demographic marketing services in social networks,Marketing,United States,Dependence on Others,Acquired,2007,2009,$1M-$10M,1-10,3,https://www.failory.com/cemetery/lookery
Argyle Social,Provided social media management tools,Marketing,United States,Competition,Shut Down,2010,2014,$1M-$10M,10-50,1,https://www.failory.com/cemetery/argyle-social
Karhoo,Cab aggregator and price comparison tool,Transportation,United Kingdom,Poor Product,Acquired,2014,2016,$10M-$50M,50-100,1,https://www.failory.com/cemetery/karhoo
ArsDigita,Agency that built solutions for e-commerce,e-Commerce,United States,Lack of Experience,Shut Down,1997,2002,$10M-$50M,50-100,7,https://www.failory.com/cemetery/arsdigita
PoliMobile,Empowered campaigns with the power of mobile,Marketing,United States,No Market Need,Shut Down,2011,2015,$0,1-10,1,https://www.failory.com/cemetery/polimobile
Tilt,Social payment startup focused on crowd-funding,Finances,United States,Lack of Focus,Acquired,2012,2017,> $50M,100-250,3,https://www.failory.com/cemetery/tilt
Delicious,"Bookmarking website to save, organize and discover links",Productivity,United States,Acquisition Flu,Still Active,2003,2017,No Data,50-100,1,https://www.failory.com/cemetery/delicious
Move Loot,Furniture online marketplace,e-Commerce,United States,Bad Business Model,Shut Down,2013,2016,$10M-$50M,50-100,4,https://www.failory.com/cemetery/move-loot
QBotix,Solar panels attached and regulated by robots,Software & Hardware,United States,Competition,Shut Down,2010,2015,$10M-$50M,10-50,1,https://www.failory.com/cemetery/qbotix
Fuhu,Designer and seller of cloud-served softwares,Software & Hardware,United States,Mismanagement of Funds,Acquired,2006,2015,> $50M,"500-1,000",3,https://www.failory.com/cemetery/fuhu
SellanApp,Connected creatives with app developers,Finances,The Netherlands,Failure to Pivot,Bankruptcy,2012,2015,< $1M,1-10,2,https://www.failory.com/cemetery/sellanapp
Formspring,Encouraged people to get to know each other,Social Media,United States,Legal Challenges,Shut Down,2009,2013,$10M-$50M,10-50,2,https://www.failory.com/cemetery/formspring
Reach.ly,Analytics tool for e-Commerce sites,Analytics,Latvia,Multiple Reasons,Shut Down,2011,2015,< $1M,1-10,1,https://www.failory.com/cemetery/reach-ly
FoundationDB,Scalable NoSQL layered database,Software & Hardware,United States,Acquisition Flu,Acquired,2009,2015,$10M-$50M,10-50,3,https://www.failory.com/cemetery/foundationdb
Stayzilla,Indian homestay network,Travel,India,Lack of Focus,Shut Down,2005,2017,$10M-$50M,250-500,4,https://www.failory.com/cemetery/stayzilla
Auctionata,Online auction platform for art & luxury,e-Commerce,Germany,Legal Challenges,Shut Down,2012,2017,> $50M,250-500,4,https://www.failory.com/cemetery/auctionata
Tutorspree,Web-based tuition services,Education,United States,Bad Marketing,Acquired,2010,2013,$1M-$10M,50-100,3,https://www.failory.com/cemetery/tutorspree
Grooveshark,Web-based on-demand music application,Music,United States,Legal Challenges,Shut Down,2006,2015,$1M-$10M,50-100,3,https://www.failory.com/cemetery/grooveshark
Transpose,Smart workspace for businesses to manage projects,Productivity,United States,Bad Business Model,Shut Down,2015,2015,$1M-$10M,10-50,4,https://www.failory.com/cemetery/transpose
RewardMe,Intelligent CRM solution for local commerce,Marketing,United States,Lack of Funds,Shut Down,2010,2015,$1M-$10M,10-50,3,https://www.failory.com/cemetery/rewardme
Maple,High-quality food delivery startup,Food & Beverage,United States,Bad Business Model,Acquired,2014,2017,$10M-$50M,100-250,2,https://www.failory.com/cemetery/maple
TeeBeeDee,Network for people over 40 to share experiences,Social Media,United States,Bad Business Model,Shut Down,2007,2009,$1M-$10M,10-50,4,https://www.failory.com/cemetery/teebeedee
Yik Yak,Anonymous location-based social network,Social Media,United States,Legal Challenges,Shut Down,2013,2017,> $50M,10-50,3,https://www.failory.com/cemetery/yik-yak
Dazo,India's first curated food demand platform,Food & Beverage,India,Competition,Shut Down,2015,2016,No Data,10-50,2,https://www.failory.com/cemetery/dazo
BitPass,Online payment system for digital content,Finances,United States,Competition,Shut Down,2002,2007,$10M-$50M,50-100,1,https://www.failory.com/cemetery/bitpass
Flowtab,Mobile app to order drinks on nightclubs,Food & Beverage,United States,Bad Business Model,Shut Down,2011,2013,$0,50-100,1,https://www.failory.com/cemetery/flowtab
Moped,Free messaging application,Social Media,Germany,No Market Need,Acquired,1998,2014,$1M-$10M,10-50,1,https://www.failory.com/cemetery/moped
RethinkDB,Scalable database for the real-time web,Software & Hardware,United States,Lack of PMF,Acquired,2009,2016,$10M-$50M,10-50,2,https://www.failory.com/cemetery/rethinkdb
Brisk,Built tools for sales organizations,Marketing,Sweden,Lack of Focus,Shut Down,2012,2016,< $1M,10-50,4,https://www.failory.com/cemetery/brisk
Leap Transit,Provider of private transit and offers bus services,Transportation,United States,Legal Challenges,Shut Down,2013,2015,$1M-$10M,50-100,1,https://www.failory.com/cemetery/leap-transit
Teforia,A tea brewer machine connected with an application,Food & Beverage,United States,No Market Need,Shut Down,2014,2017,$10M-$50M,10-50,2,https://www.failory.com/cemetery/teforia
Berg,Commercialized cloud services for hardware innovators,Design,United Kingdom,No Market Need,Shut Down,2005,2014,$1M-$10M,10-50,1,https://www.failory.com/cemetery/berg
Rdio,Digital music service provider,Music,United States,Competition,Bankruptcy,2008,2015,> $50M,50-100,3,https://www.failory.com/cemetery/rdio
OpTier,Cloud-based enterprise software business,Analytics,United States,Lack of PMF,Shut Down,2002,2014,> $50M,50-100,2,https://www.failory.com/cemetery/optier
Fab,Online design marketplace,e-Commerce,United States,Multiple Reasons,Acquired,2009,2013,> $50M,"500-1,000",5,https://www.failory.com/cemetery/fab
37Coins,Startup that developed Bitcoin technologies,Finances,United States,Lack of Funds,Shut Down,2014,2015,< $1M,1-10,3,https://www.failory.com/cemetery/37coins
Parse,Cloud-based software developer kits,Software & Hardware,United States,Acquisition Flu,Shut Down,2011,2016,$1M-$10M,10-50,4,https://www.failory.com/cemetery/parse
Springpad,"Allowed users organize projects, ideas and to-do’s",Productivity,United States,Lack of Focus,Acquired,2008,2014,$1M-$10M,10-50,1,https://www.failory.com/cemetery/springpad
MySpace,Social network based on personal user pages,Social Media,United States,Multiple Reasons,Still Active,2003,Active,$10M-$50M,250-500,7,https://www.failory.com/cemetery/myspace
Admazely,Easy-to-setup retargeting for web shops,Marketing,Denmark,Lack of Funds,Bankruptcy,2011,2013,< $1M,1-10,4,https://www.failory.com/cemetery/admazely
Crowdmix,Music streaming and sharing platform,Music,United Kingdom,Mismanagement of Funds,Acquired,2013,2016,$10M-$50M,100-250,2,https://www.failory.com/cemetery/crowdmix
Wattage,Online platform that made creating hardware easy,Software & Hardware,Canada,No Market Need,Shut Down,2014,2015,< $1M,50-100,3,https://www.failory.com/cemetery/wattage
Shuddle,Safe on-demand transportation for families,Transportation,United States,Lack of Funds,Shut Down,2014,2016,$10M-$50M,10-50,2,https://www.failory.com/cemetery/shuddle
SchoolGennie,Provide data to schools about their pain points,Education,India,Lack of Experience,Shut Down,2013,2014,$0,1-10,2,https://www.failory.com/cemetery/schoolgennie
Take Eat Easy,Restaurants delivered to your door,Food & Beverage,Belgium,Competition,Bankruptcy,2013,2016,$10M-$50M,100-250,4,https://www.failory.com/cemetery/take-eat-easy
Circa,Mobile news app on diverse topics,Entertainment,United States,Lack of Funds,Acquired,2011,2015,$1M-$10M,10-50,3,https://www.failory.com/cemetery/circa
Alikolo,Online marketplace organization,e-Commerce,Indonesia,Lack of Experience,Shut Down,2014,2015,< $1M,1-10,1,https://www.failory.com/cemetery/alikolo
Poliana,Web application that simplified the legislative system,Analytics,United States,Bad Business Model,Shut Down,2013,2015,< $1M,1-10,4,https://www.failory.com/cemetery/poliana
Design Inc.,Marketplace for high-quality design work,Design,United States,Bad Business Model,Shut Down,2016,2017,$1M-$10M,1-10,2,https://www.failory.com/cemetery/design-inc
Vine,Platform to share short looping video clips,Social Media,United States,Multiple Reasons,Shut Down,2012,2017,No Data,50-100,3,https://www.failory.com/cemetery/vine
HitMeUp,Developed mobile marketing applications,e-Commerce,United Kingdom,Lack of Experience,Shut Down,2011,2015,< $1M,1-10,1,https://www.failory.com/cemetery/hitmeup
Stereomood,Music platform that provided mood-based song listings,Music,Italy,Acquisition Flu,Acquired,2009,2015,No Data,10-50,4,https://www.failory.com/cemetery/stereomood
Appiterate,Mobile marketing automation platform,Marketing,United States,Acquisition Flu,Acquired,2013,2015,< $1M,1-10,4,https://www.failory.com/cemetery/appiterate
Sunrise,Calendar app for mobile and desktop,Productivity,France,Bad Business Model,Acquired,2012,2016,$1M-$10M,10-50,2,https://www.failory.com/cemetery/sunrise
Dinnr,Ingredients and recipe to create meals at home,Food & Beverage,United Kingdom,No Market Need,Shut Down,2012,2014,< $1M,1-10,2,https://www.failory.com/cemetery/dinnr
Selltag,Platform for people to sell and buy items,e-Commerce,Spain,Failure to Pivot,Shut Down,2014,2015,< $1M,10-50,4,https://www.failory.com/cemetery/selltag
Kiko,Ajax-style online calendar application,Productivity,United States,Bad Management,Acquired,2003,2008,< $1M,10-50,2,https://www.failory.com/cemetery/kiko
Monitor110,Real-time internet monitoring services,Analytics,United States,Multiple Reasons,Shut Down,2003,2008,$10M-$50M,1-10,1,https://www.failory.com/cemetery/monitor110
SpoonRocket,"Next-gen, ultra-fast delivery platform",Food & Beverage,United States,Competition,Shut Down,2013,2016,$10M-$50M,10-50,2,https://www.failory.com/cemetery/spoonrocket
Juicero,First home cold-pressed juicing system,Food & Beverage,United States,Bad Business Model,Bankruptcy,2013,2017,> $50M,100-250,1,https://www.failory.com/cemetery/juicero
Salorix,Online social network engagement platform,Analytics,United States,Bad Management,Shut Down,2009,2014,$1M-$10M,10-50,1,https://www.failory.com/cemetery/salorix
Friendster,Social gaming site focused on entertainment,Social Media,Philippines,Lack of PMF,Shut Down,2001,2015,$10M-$50M,10-50,1,https://www.failory.com/cemetery/friendster
Dopplr,Social travel network service,Travel,United States,Acquisition Flu,Shut Down,2007,Active,No Data,1-10,5,https://www.failory.com/cemetery/dopplr
Kitchit,Brought local chefs to private households,Food & Beverage,United States,Competition,Shut Down,2011,2016,$1M-$10M,10-50,2,https://www.failory.com/cemetery/kitchit
Frankly,Messaging app for frank conversations,Social Media,India,Lack of PMF,Shut Down,2014,2016,< $1M,50-100,2,https://www.failory.com/cemetery/frankly
Kno,Education software startup,Education,United States,Competition,Acquired,2009,2013,> $50M,"+10,000",2,https://www.failory.com/cemetery/kno
Beepi,P2P used car online marketplace,Transportation,United States,Mismanagement of Funds,Acquired,2013,2016,> $50M,100-250,2,https://www.failory.com/cemetery/beepi
Pixate,Platform for mobile interaction design,Design,United States,Acquisition Flu,Shut Down,2012,2016,$1M-$10M,10-50,2,https://www.failory.com/cemetery/pixate
Mailbox,"Inbox that made email light, fast, and mobile-friendly.",Productivity,United States,Bad Business Model,Shut Down,2011,2015,$1M-$10M,"500-1,000",2,https://www.failory.com/cemetery/mailbox
DotCloud,"Enabled developers to host, assemble and run their applications",Software & Hardware,United States,Mismanagement of Funds,Bankruptcy,2008,2016,$10M-$50M,250-500,1,https://www.failory.com/cemetery/dotcloud
LayerVault,Allowed users to store and collaborate on design work,Design,United States,Lack of Funds,Shut Down,2011,2014,< $1M,10-50,2,https://www.failory.com/cemetery/layervault
Zoomo,P2P transactions of pre-owned cars,Transportation,India,Bad Business Model,Shut Down,2014,2016,$1M-$10M,10-50,2,https://www.failory.com/cemetery/zoomo
Shipbeat,Shipping API for e-commerce companies,e-Commerce,Denmark,Multiple Reasons,Bankruptcy,2014,2016,$1M-$10M,10-50,2,https://www.failory.com/cemetery/shipbeat
Dinner Lab,Membership-based social dining experiment,Food & Beverage,United States,Bad Business Model,Shut Down,2011,2016,$1M-$10M,10-50,3,https://www.failory.com/cemetery/dinner-lab
Digg,Enables users to share interesting stories,Social Media,United States,Competition,Still Active,2004,Active,$10M-$50M,50-100,1,https://www.failory.com/cemetery/digg
Lumos,Internet of things startup on switching technology,Software & Hardware,India,Lack of Experience,Shut Down,2014,2015,No Data,1-10,3,https://www.failory.com/cemetery/lumos
Turntable.fm,Online interactive platform for DJs and listeners,Music,United States,Bad Business Model,Shut Down,2011,2013,$1M-$10M,1-10,1,https://www.failory.com/cemetery/turntable-fm
Sidecar,Provided B2B delivery transportation network,Transportation,United States,Competition,Acquired,2011,2015,$10M-$50M,50-100,2,https://www.failory.com/cemetery/sidecar
Flud,Social news reader for different platforms,Productivity,United States,Multiple Reasons,Shut Down,2010,2013,$1M-$10M,10-50,2,https://www.failory.com/cemetery/flud
Sprig,Online app that provided healthy organic meals,Food & Beverage,United States,Competition,Shut Down,2013,2017,> $50M,50-100,4,https://www.failory.com/cemetery/sprig
Sip,Daily tappable tech news and stories,Productivity,United States,Multiple Reasons,Shut Down,2018,2019,$0,1-10,3,https://www.failory.com/cemetery/sip
MatterFab,Selling affordable solutions for metal 3-D printing,Software & Hardware,United States,Bad Business Model,Shut Down,2013,2019,$10M-$50M,1-10,1,https://www.failory.com/cemetery/matterfab
WOW Air,Ultra-low-cost transatlantic airline service,Transportation,Iceland,Multiple Reasons,Bankruptcy,2011,2019,No Data,50-100,1,https://www.failory.com/cemetery/wow-air
CircleBack Lending,A P2P marketplace for online lending,Finances,United States,Bad Business Model,Shut Down,2012,2016,$10M-$50M,10-50,2,https://www.failory.com/cemetery/circleback-lending
Aria Insights,Air vehicles for search and rescue missions,Software & Hardware,United States,Multiple Reasons,Shut Down,2008,2019,$10M-$50M,10-50,1,https://www.failory.com/cemetery/aria-insights
ChaCha,Search engine with a live human being,Software & Hardware,United States,Competition,Shut Down,2005,2016,> $50M,50-100,2,https://www.failory.com/cemetery/chacha
Shipitwise,SaaS software for transportation companies,Transportation,Estonia,No Market Need,Acquired,2016,2019,< $1M,1-10,5,https://www.failory.com/cemetery/shipitwise
Call9,On-demand doctors in emergency situations,Health,United States,Bad Business Model,Shut Down,2015,2019,$10M-$50M,100-250,3,https://www.failory.com/cemetery/call9
Koinex,Cryptocurrency exchange platform,Finances,India,Legal Challenges,Shut Down,2017,2019,No Data,50-100,3,https://www.failory.com/cemetery/koinex
Vreal,VR game-streaming platform,Entertainment,United States,Bad Timing,Shut Down,2015,Active,$10M-$50M,10-50,1,https://www.failory.com/cemetery/vreal
Utrip,AI-powered travel planning services,Travel,United States,Mismanagement of Funds,Shut Down,2012,2019,$1M-$10M,10-50,2,https://www.failory.com/cemetery/utrip
Radar Radio,UK digital radio station,Entertainment,United Kingdom,Mismanagement of Funds,Shut Down,2008,2018,$0,10-50,1,https://www.failory.com/cemetery/radar-radio
Shyp,On-demand shipping startup,Transportation,United States,Multiple Reasons,Shut Down,2013,2018,> $50M,10-50,3,https://www.failory.com/cemetery/shyp
Theranos,Consumer healthcare technology company,Health,United States,Legal Challenges,Shut Down,2003,2018,> $50M,10-50,1,https://www.failory.com/cemetery/theranos
Laurel & Wolf,Online interior design marketplace,e-Commerce,United States,Multiple Reasons,Shut Down,2014,Active,$10M-$50M,50-100,2,https://www.failory.com/cemetery/laurel-wolf
Stratolaunch,Launching rockets into space from airplanes,Transportation,United States,Lack of Focus,Shut Down,2010,2019,$0,"500-1,000",1,https://www.failory.com/cemetery/stratolaunch
Navdy,Augmented driving device for cars,Transportation,United States,Multiple Reasons,Shut Down,2013,2018,$10M-$50M,50-100,2,https://www.failory.com/cemetery/navdy
Anki,Building emotionally intelligent robots,Software & Hardware,United States,Lack of Funds,Shut Down,2010,2019,> $50M,100-250,3,https://www.failory.com/cemetery/anki
Seven Dreamers Laboratories,"Robot that washes, dries and irons clothes",Software & Hardware,Japan,Poor Product,Bankruptcy,2014,2019,> $50M,100-250,1,https://www.failory.com/cemetery/seven-dreamers-laboratories
Munchery,Gourmet meals at your doorstep,Food & Beverage,United States,Multiple Reasons,Bankruptcy,2011,2019,> $50M,100-250,3,https://www.failory.com/cemetery/munchery
Quibi,Short-form streaming platform,Entertainment,United States,Multiple Reasons,Shut Down,2018,2020,> $50M,250-500,1,https://www.failory.com/cemetery/quibi
